LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.3893,517.5838,538.1085,0.5261,0.0000,0.0000,0.0000,21.0508,267.421875,1.821289,0.000000,0.000000,0.000000,45.585621,314.828785
80,79.9854,584.8797,725.9441,0.5278,0.0000,0.0000,0.0000,141.5922,362.660159,1.843750,0.000000,0.000000,0.000000,45.585621,410.089530
90,89.6528,627.0406,894.7315,0.5278,0.0000,0.0000,0.0000,268.2188,445.359375,1.843750,0.000000,0.000000,0.000000,45.585621,492.788746
100,99.9079,659.7381,1066.4719,0.5261,0.0000,0.0000,0.0000,407.2599,530.386719,1.821289,0.000000,0.000000,0.000000,45.585621,577.793629
110,109.9818,684.1026,1227.7640,0.5261,0.0000,0.0000,0.0000,544.1875,612.136719,1.821289,0.000000,0.000000,0.000000,45.585621,659.543629
120,119.7809,703.6097,1379.9028,0.5261,0.0000,0.0000,0.0000,676.8191,691.382812,1.821289,0.000000,0.000000,0.000000,45.585621,738.789723
