LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.1890,517.5912,538.1085,0.5269,0.0000,0.0000,0.0000,21.0443,267.421875,0.916992,0.000000,0.000000,0.000000,45.585621,313.924489
80,79.9318,585.5035,725.9961,2.1041,0.0000,0.0000,0.0000,142.5967,361.019531,3.646484,0.000000,0.000000,0.000000,45.585621,410.251637
90,89.9941,628.6935,902.1304,0.5261,0.0000,0.0000,0.0000,273.9630,449.472656,0.910645,0.000000,0.000000,0.000000,45.585621,495.968922
100,99.7516,659.7433,1066.4719,0.5278,0.0000,0.0000,0.0000,407.2564,530.386719,0.921875,0.000000,0.000000,0.000000,45.585621,576.894215
110,109.8311,684.1073,1227.7640,0.5278,0.0000,0.0000,0.0000,544.1845,612.136719,0.921875,0.000000,0.000000,0.000000,45.585621,658.644215
120,119.7045,704.3498,1254.6223,38.5109,0.0000,0.0000,0.0000,588.7834,626.328125,67.181152,0.000000,0.000000,0.000000,45.585621,739.094899
