LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.3823,151.4641,152.5636,0.5261,0.0000,0.0000,0.0000,1.6255,75.769531,1.821289,0.000000,0.000000,0.000000,14.530468,92.121288
80,79.8018,172.5084,206.1434,1.0374,0.0000,0.0000,0.0000,34.6725,102.511719,3.634766,0.000000,0.000000,0.000000,14.530468,120.676952
90,88.9672,186.2890,258.3459,0.5278,0.0000,0.0000,0.0000,72.5847,128.910156,1.843750,0.000000,0.000000,0.000000,14.530468,145.284374
100,99.6107,197.3779,313.7107,0.5261,0.0000,0.0000,0.0000,116.8588,155.996094,1.821289,0.000000,0.000000,0.000000,14.530468,172.347851
110,108.7117,204.1888,356.9715,0.5278,0.0000,0.0000,0.0000,153.3105,178.210938,1.843750,0.000000,0.000000,0.000000,14.530468,194.585156
120,119.5073,211.3164,412.2867,0.5261,0.0000,0.0000,0.0000,201.4963,205.023438,1.821289,0.000000,0.000000,0.000000,14.530468,221.375195
