LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.8331,858.3589,1242.9157,0.5424,0.0000,0.0000,0.0000,385.0991,506.269531,0.902344,0.000000,0.000000,0.000000,18.278752,525.450627
80,79.6285,892.4266,1480.1804,0.5424,0.0000,0.0000,0.0000,588.2961,603.753906,0.902344,0.000000,0.000000,0.000000,18.278752,622.935002
90,89.9686,919.5844,1728.1222,0.5424,0.0000,0.0000,0.0000,809.0802,706.062500,0.902344,0.000000,0.000000,0.000000,18.278752,725.243596
100,99.7758,940.0731,1930.5761,8.1353,0.0000,0.0000,0.0000,998.6383,790.406250,13.535156,0.000000,0.000000,0.000000,18.278752,822.220158
110,105.7688,951.4487,1857.0139,62.4049,0.0000,0.0000,0.0000,967.9701,760.203125,103.671875,0.000000,0.000000,0.000000,18.278752,882.153752
120,119.8352,978.2305,1802.5421,163.5074,0.0000,0.0000,0.0000,987.8190,738.191406,271.136719,0.000000,0.000000,0.000000,18.278752,1027.606877
