LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.1058,573.4355,628.5210,0.5395,0.0000,0.0000,0.0000,55.6250,303.453125,0.927246,0.000000,0.000000,0.000000,42.996178,347.376549
80,79.7157,616.0191,795.8740,0.5395,0.0000,0.0000,0.0000,180.3944,386.542969,0.927246,0.000000,0.000000,0.000000,42.996178,430.466393
90,89.9388,646.4379,953.5201,0.5381,0.0000,0.0000,0.0000,307.6203,465.730469,0.927246,0.000000,0.000000,0.000000,42.996178,509.653893
100,99.9033,669.9087,1101.2793,2.1523,0.0000,0.0000,0.0000,433.5229,539.968750,3.708984,0.000000,0.000000,0.000000,42.996178,586.673913
110,108.4934,687.4066,1140.5899,29.6055,0.0000,0.0000,0.0000,482.7888,559.765625,50.998535,0.000000,0.000000,0.000000,42.996178,653.760338
120,116.9524,704.4830,1071.6881,89.2826,0.0000,0.0000,0.0000,456.4877,525.339844,153.903320,0.000000,0.000000,0.000000,42.996178,722.239342
