LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.6767,636.1014,681.3397,0.5217,0.0000,0.0000,0.0000,45.7600,338.734375,1.838867,0.000000,0.000000,0.000000,47.948791,388.522033
80,79.7992,708.3079,896.2576,0.5260,0.0000,0.0000,0.0000,188.4757,445.703125,1.823242,0.000000,0.000000,0.000000,47.948791,495.475158
90,89.9717,758.2012,1102.2871,0.5260,0.0000,0.0000,0.0000,344.6119,548.214844,1.823242,0.000000,0.000000,0.000000,47.948791,597.986877
100,99.7935,793.4279,1290.4142,0.5261,0.0000,0.0000,0.0000,497.5123,644.312500,1.821289,0.000000,0.000000,0.000000,47.948791,694.082580
110,109.9724,821.9425,1478.2780,0.5261,0.0000,0.0000,0.0000,656.8615,742.597656,1.821289,0.000000,0.000000,0.000000,47.948791,792.367736
120,119.6738,844.6401,1657.1694,0.5261,0.0000,0.0000,0.0000,813.0554,836.308594,1.821289,0.000000,0.000000,0.000000,47.948791,886.078674
