LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.5190,713.9579,1026.7373,0.5300,0.0000,0.0000,0.0000,313.3094,418.222656,1.771484,0.000000,0.000000,0.000000,15.094264,435.088405
80,79.6015,743.4450,1231.5337,0.5424,0.0000,0.0000,0.0000,488.6310,501.867188,1.804688,0.000000,0.000000,0.000000,15.094264,518.766139
90,89.8390,766.0096,1436.4226,0.5424,0.0000,0.0000,0.0000,670.9553,586.355469,1.804688,0.000000,0.000000,0.000000,15.094264,603.254421
100,99.5243,782.9835,1626.4898,0.5424,0.0000,0.0000,0.0000,844.0487,666.199219,1.804688,0.000000,0.000000,0.000000,15.094264,683.098171
110,109.9038,798.1973,1832.7896,0.5424,0.0000,0.0000,0.0000,1035.1347,752.097656,1.804688,0.000000,0.000000,0.000000,15.094264,768.996608
120,119.8340,810.5306,2031.6662,0.5424,0.0000,0.0000,0.0000,1221.6779,834.535156,1.804688,0.000000,0.000000,0.000000,15.094264,851.434108
