LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,68.8526,686.2867,746.6333,0.5378,0.0000,0.0000,0.0000,60.8845,361.796875,1.861328,0.000000,0.000000,0.000000,50.558265,414.216468
80,79.9560,739.2604,953.5201,0.5395,0.0000,0.0000,0.0000,214.7991,465.730469,1.854492,0.000000,0.000000,0.000000,50.558265,518.143226
90,89.4861,773.2483,1129.0389,0.5374,0.0000,0.0000,0.0000,356.3281,554.156250,1.848633,0.000000,0.000000,0.000000,50.558265,606.563148
100,99.4992,801.7131,1312.6072,0.5228,0.0000,0.0000,0.0000,511.4169,646.871094,1.833008,0.000000,0.000000,0.000000,50.558265,699.262367
110,109.7863,826.3826,1504.7193,0.5381,0.0000,0.0000,0.0000,678.8748,742.886719,1.854492,0.000000,0.000000,0.000000,50.558265,795.299476
120,119.8639,846.3993,1691.6066,0.5381,0.0000,0.0000,0.0000,845.7454,836.921875,1.854492,0.000000,0.000000,0.000000,50.558265,889.334632
