LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.3566,213.5406,302.7659,0.5424,0.0000,0.0000,0.0000,89.7676,123.265625,0.902344,0.000000,0.000000,0.000000,5.660349,129.828318
80,79.9380,222.9688,367.4933,0.5424,0.0000,0.0000,0.0000,145.0668,149.679688,0.902344,0.000000,0.000000,0.000000,5.660349,156.242380
90,88.2760,228.7687,417.3951,0.5424,0.0000,0.0000,0.0000,189.1688,170.464844,0.902344,0.000000,0.000000,0.000000,5.660349,177.027537
100,99.4055,234.8760,485.9025,0.5424,0.0000,0.0000,0.0000,251.5689,198.105469,0.902344,0.000000,0.000000,0.000000,5.660349,204.668162
110,108.1240,239.0007,464.2840,19.0030,0.0000,0.0000,0.0000,244.2863,189.300781,31.567383,0.000000,0.000000,0.000000,5.660349,226.528513
120,119.8928,244.4563,473.0064,34.7751,0.0000,0.0000,0.0000,263.3252,193.589844,57.668457,0.000000,0.000000,0.000000,5.660349,256.918650
