LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.3164,244.6588,139.4408,0.5412,172.4776,0.1872,0.0000,67.9879,72.949219,1.871094,51.006486,0.208500,0.000000,22.626086,148.661384
80,78.4421,253.0503,169.8688,0.5487,192.4903,0.1872,0.0000,110.0448,92.019531,1.889648,58.276741,0.208500,0.000000,21.608859,174.003280
90,88.1451,258.8746,207.3758,0.5575,209.7547,0.1872,0.0000,159.0007,111.855469,1.926758,64.427578,0.208500,0.000000,21.608859,200.027163
100,99.2933,265.0493,258.5788,0.5575,224.6944,0.1872,0.0000,218.9686,136.171875,1.926758,69.767152,0.208500,0.000000,22.626086,230.700371
110,109.9996,266.8379,296.2088,0.5575,234.8230,0.1356,0.0000,264.8871,160.105469,1.926758,73.450637,0.208500,0.000000,21.608859,257.300223
120,119.9992,270.4605,347.1952,0.5575,241.7459,0.1872,0.0000,319.2253,184.804688,1.926758,75.952059,0.208500,0.000000,21.608859,284.500863
