LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.7394,152.2188,152.6338,1.5641,0.0000,0.0000,0.0000,1.9790,75.769531,2.756836,0.000000,0.000000,0.000000,14.530468,93.056835
80,79.8226,174.9560,215.0850,0.5278,0.0000,0.0000,0.0000,40.6568,106.968750,0.921875,0.000000,0.000000,0.000000,14.530468,122.421093
90,89.6991,187.4940,259.8592,2.1042,0.0000,0.0000,0.0000,74.4694,129.253906,3.642578,0.000000,0.000000,0.000000,14.530468,147.426952
100,99.8932,197.8982,313.6700,1.5834,0.0000,0.0000,0.0000,117.3552,155.996094,2.765625,0.000000,0.000000,0.000000,14.530468,173.292187
110,109.9422,205.6446,367.5045,0.5278,0.0000,0.0000,0.0000,162.3877,182.738281,0.921875,0.000000,0.000000,0.000000,14.530468,198.190624
120,119.5056,211.6315,394.3593,6.3335,0.0000,0.0000,0.0000,189.0612,196.109375,11.062500,0.000000,0.000000,0.000000,14.530468,221.702343
