LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.5108,636.1082,681.3397,0.5266,0.0000,0.0000,0.0000,45.7581,338.734375,0.917480,0.000000,0.000000,0.000000,47.948791,387.600646
80,79.9904,709.2144,896.2576,2.1041,0.0000,0.0000,0.0000,189.1474,445.703125,3.646484,0.000000,0.000000,0.000000,47.948791,497.298400
90,89.8354,758.2070,1102.2871,0.5278,0.0000,0.0000,0.0000,344.6079,548.214844,0.921875,0.000000,0.000000,0.000000,47.948791,597.085510
100,99.6900,793.4010,1290.3401,0.5278,0.0000,0.0000,0.0000,497.4669,644.468750,0.921875,0.000000,0.000000,0.000000,47.948791,693.339416
110,109.8470,821.9472,1478.2780,0.5278,0.0000,0.0000,0.0000,656.8585,742.597656,0.921875,0.000000,0.000000,0.000000,47.948791,791.468322
120,119.8380,846.3930,1478.2942,56.4349,0.0000,0.0000,0.0000,688.3362,742.714844,98.472168,0.000000,0.000000,0.000000,47.948791,889.135803
