X	Y	Type
-66.21092813	44.73659303	Shipping
-66.20092813	44.73659303	Shipping
-66.19092813	44.73659303	Shipping
-66.18092812	44.73659303	Shipping
-66.17092812	44.73659303	Shipping
-66.16092812	44.73659303	Shipping
-66.30092814	44.72659303	Shipping
-66.29092814	44.72659303	Shipping
-66.28092814	44.72659303	Shipping
-66.27092814	44.72659303	Shipping
-66.26092813	44.72659303	Shipping
-66.25092813	44.72659303	Shipping
-66.24092813	44.72659303	Shipping
-66.23092813	44.72659303	Shipping
-66.22092813	44.72659303	Shipping
-66.21092813	44.72659303	Shipping
-66.20092813	44.72659303	Shipping
-66.19092813	44.72659303	Shipping
-66.18092812	44.72659303	Shipping
-66.17092812	44.72659303	Shipping
-66.16092812	44.72659303	Shipping
-66.30092814	44.71659303	Shipping
-66.29092814	44.71659303	Shipping
-66.28092814	44.71659303	Shipping
-66.27092814	44.71659303	Shipping
-66.26092813	44.71659303	Shipping
-66.25092813	44.71659303	Shipping
-66.24092813	44.71659303	Shipping
-66.23092813	44.71659303	Shipping
-66.22092813	44.71659303	Shipping
-66.21092813	44.71659303	Shipping
-66.20092813	44.71659303	Shipping
-66.19092813	44.71659303	Shipping
-66.18092812	44.71659303	Shipping
-66.17092812	44.71659303	Shipping
-66.30092814	44.70659303	Shipping
-66.29092814	44.70659303	Shipping
-66.28092814	44.70659303	Shipping
-66.27092814	44.70659303	Shipping
-66.26092813	44.70659303	Shipping
-66.25092813	44.70659303	Shipping
-66.24092813	44.70659303	Shipping
-66.23092813	44.70659303	Shipping
-66.22092813	44.70659303	Shipping
-66.21092813	44.70659303	Shipping
-66.20092813	44.70659303	Shipping
-66.19092813	44.70659303	Shipping
-66.18092812	44.70659303	Shipping
-66.17092812	44.70659303	Shipping
-66.31092814	44.69659303	Shipping
-66.30092814	44.69659303	Shipping
-66.29092814	44.69659303	Shipping
-66.28092814	44.69659303	Shipping
-66.27092814	44.69659303	Shipping
-66.26092813	44.69659303	Shipping
-66.25092813	44.69659303	Shipping
-66.24092813	44.69659303	Shipping
-66.23092813	44.69659303	Shipping
-66.22092813	44.69659303	Shipping
-66.21092813	44.69659303	Shipping
-66.20092813	44.69659303	Shipping
-66.19092813	44.69659303	Shipping
-66.18092812	44.69659303	Shipping
-66.17092812	44.69659303	Shipping
-66.31092814	44.68659302	Shipping
-66.30092814	44.68659302	Shipping
-66.29092814	44.68659302	Shipping
-66.28092814	44.68659302	Shipping
-66.27092814	44.68659302	Shipping
-66.26092813	44.68659302	Shipping
-66.25092813	44.68659302	Shipping
-66.24092813	44.68659302	Shipping
-66.23092813	44.68659302	Shipping
-66.22092813	44.68659302	Shipping
-66.21092813	44.68659302	Shipping
-66.20092813	44.68659302	Shipping
-66.19092813	44.68659302	Shipping
-66.18092812	44.68659302	Shipping
-66.31092814	44.67659302	Shipping
-66.30092814	44.67659302	Shipping
-66.29092814	44.67659302	Shipping
-66.28092814	44.67659302	Shipping
-66.27092814	44.67659302	Shipping
-66.26092813	44.67659302	Shipping
-66.25092813	44.67659302	Shipping
-66.24092813	44.67659302	Shipping
-66.23092813	44.67659302	Shipping
-66.22092813	44.67659302	Shipping
-66.21092813	44.67659302	Shipping
-66.20092813	44.67659302	Shipping
-66.19092813	44.67659302	Shipping
-66.18092812	44.67659302	Shipping
-66.32092814	44.66659302	Shipping
-66.31092814	44.66659302	Shipping
-66.30092814	44.66659302	Shipping
-66.29092814	44.66659302	Shipping
-66.28092814	44.66659302	Shipping
-66.27092814	44.66659302	Shipping
-66.26092813	44.66659302	Shipping
-66.25092813	44.66659302	Shipping
-66.24092813	44.66659302	Shipping
-66.23092813	44.66659302	Shipping
-66.22092813	44.66659302	Shipping
-66.21092813	44.66659302	Shipping
-66.20092813	44.66659302	Shipping
-66.19092813	44.66659302	Shipping
-66.18092812	44.66659302	Shipping
-66.32092814	44.65659302	Shipping
-66.31092814	44.65659302	Shipping
-66.30092814	44.65659302	Shipping
-66.29092814	44.65659302	Shipping
-66.28092814	44.65659302	Shipping
-66.27092814	44.65659302	Shipping
-66.26092813	44.65659302	Shipping
-66.25092813	44.65659302	Shipping
-66.24092813	44.65659302	Shipping
-66.23092813	44.65659302	Shipping
-66.22092813	44.65659302	Shipping
-66.21092813	44.65659302	Shipping
-66.20092813	44.65659302	Shipping
-66.19092813	44.65659302	Shipping
-66.33092814	44.64659302	Shipping
-66.32092814	44.64659302	Shipping
-66.31092814	44.64659302	Shipping
-66.30092814	44.64659302	Shipping
-66.29092814	44.64659302	Shipping
-66.28092814	44.64659302	Shipping
