lat	long	Type
42.9825	-70.61083333	Prohibited MPAs
42.9825	-70.60583333	Prohibited MPAs
42.9825	-70.60083333	Prohibited MPAs
41.5825	-70.49083333	Prohibited MPAs
41.5775	-70.49583333	Prohibited MPAs
41.5775	-70.48583333	Prohibited MPAs
41.5775	-70.48083333	Prohibited MPAs
41.5725	-70.49083333	Prohibited MPAs
41.2575	-70.83083333	Prohibited MPAs
41.2575	-70.82583333	Prohibited MPAs
41.2575	-70.82083333	Prohibited MPAs
41.2575	-70.81583333	Prohibited MPAs
41.2575	-70.81083333	Prohibited MPAs
41.2575	-70.80583333	Prohibited MPAs
41.2525	-70.82083333	Prohibited MPAs
41.2525	-70.81583333	Prohibited MPAs
41.2525	-70.81083333	Prohibited MPAs
41.2525	-70.80583333	Prohibited MPAs
40.9425	-72.42083333	Prohibited MPAs
40.7175	-73.21083333	Prohibited MPAs
40.7175	-73.20583333	Prohibited MPAs
40.7125	-73.21083333	Prohibited MPAs
40.7075	-73.21083333	Prohibited MPAs
37.2575	-76.02083333	Prohibited MPAs
36.8225	-76.55083333	Prohibited MPAs
36.8225	-76.54583333	Prohibited MPAs
36.8225	-76.54083333	Prohibited MPAs
36.8175	-76.54583333	Prohibited MPAs
36.8125	-76.54583333	Prohibited MPAs
34.7025	-76.82583333	Prohibited MPAs
34.6975	-76.83583333	Prohibited MPAs
34.6975	-76.83083333	Prohibited MPAs
34.6975	-76.82583333	Prohibited MPAs
33.9225	-77.96083333	Prohibited MPAs
33.9225	-77.95583333	Prohibited MPAs
33.9175	-77.98083333	Prohibited MPAs
33.9175	-77.97583333	Prohibited MPAs
33.9175	-77.97083333	Prohibited MPAs
33.9175	-77.96583333	Prohibited MPAs
33.9175	-77.96083333	Prohibited MPAs
33.9175	-77.95583333	Prohibited MPAs
33.9175	-77.95083333	Prohibited MPAs
33.9125	-77.98083333	Prohibited MPAs
33.9125	-77.97583333	Prohibited MPAs
33.9125	-77.97083333	Prohibited MPAs
33.9125	-77.96583333	Prohibited MPAs
33.9125	-77.96083333	Prohibited MPAs
33.9125	-77.95583333	Prohibited MPAs
33.9125	-77.95083333	Prohibited MPAs
33.9075	-78.01083333	Prohibited MPAs
33.9075	-77.99583333	Prohibited MPAs
33.9075	-77.98083333	Prohibited MPAs
33.9075	-77.97583333	Prohibited MPAs
33.9075	-77.97083333	Prohibited MPAs
33.9075	-77.96583333	Prohibited MPAs
33.9075	-77.96083333	Prohibited MPAs
33.9075	-77.95583333	Prohibited MPAs
33.9075	-77.95083333	Prohibited MPAs
33.9025	-77.98083333	Prohibited MPAs
33.9025	-77.97583333	Prohibited MPAs
33.9025	-77.97083333	Prohibited MPAs
33.9025	-77.96583333	Prohibited MPAs
33.9025	-77.96083333	Prohibited MPAs
33.9025	-77.95583333	Prohibited MPAs
33.9025	-77.95083333	Prohibited MPAs
33.8975	-77.98083333	Prohibited MPAs
33.8975	-77.97583333	Prohibited MPAs
33.8975	-77.97083333	Prohibited MPAs
33.8975	-77.96583333	Prohibited MPAs
33.8975	-77.96083333	Prohibited MPAs
33.8975	-77.95583333	Prohibited MPAs
33.8925	-77.98583333	Prohibited MPAs
33.8925	-77.98083333	Prohibited MPAs
33.8925	-77.97583333	Prohibited MPAs
33.8925	-77.97083333	Prohibited MPAs
33.8925	-77.96583333	Prohibited MPAs
33.8925	-77.96083333	Prohibited MPAs
33.8925	-77.95583333	Prohibited MPAs
33.8875	-77.98583333	Prohibited MPAs
33.8875	-77.98083333	Prohibited MPAs
33.8875	-77.97583333	Prohibited MPAs
33.8875	-77.97083333	Prohibited MPAs
33.8875	-77.96583333	Prohibited MPAs
33.8875	-77.96083333	Prohibited MPAs
33.8875	-77.95583333	Prohibited MPAs
33.8825	-77.99083333	Prohibited MPAs
33.8825	-77.98583333	Prohibited MPAs
33.8825	-77.98083333	Prohibited MPAs
33.8825	-77.97583333	Prohibited MPAs
33.8825	-77.97083333	Prohibited MPAs
33.8825	-77.96583333	Prohibited MPAs
33.8825	-77.96083333	Prohibited MPAs
33.8825	-77.95583333	Prohibited MPAs
33.8775	-77.99583333	Prohibited MPAs
33.8775	-77.99083333	Prohibited MPAs
33.8775	-77.98583333	Prohibited MPAs
33.8775	-77.98083333	Prohibited MPAs
33.8775	-77.97583333	Prohibited MPAs
33.8775	-77.97083333	Prohibited MPAs
33.8775	-77.96583333	Prohibited MPAs
33.8775	-77.96083333	Prohibited MPAs
33.8725	-77.99583333	Prohibited MPAs
33.8725	-77.99083333	Prohibited MPAs
33.8725	-77.98583333	Prohibited MPAs
33.8725	-77.98083333	Prohibited MPAs
33.8725	-77.97583333	Prohibited MPAs
33.8725	-77.97083333	Prohibited MPAs
33.8725	-77.96583333	Prohibited MPAs
33.8725	-77.96083333	Prohibited MPAs
33.8675	-77.99083333	Prohibited MPAs
33.8675	-77.98583333	Prohibited MPAs
33.8675	-77.98083333	Prohibited MPAs
33.8675	-77.97583333	Prohibited MPAs
33.8675	-77.97083333	Prohibited MPAs
33.8675	-77.96583333	Prohibited MPAs
33.8675	-77.96083333	Prohibited MPAs
33.8625	-77.98583333	Prohibited MPAs
33.8625	-77.98083333	Prohibited MPAs
33.8625	-77.97583333	Prohibited MPAs
33.8625	-77.97083333	Prohibited MPAs
33.8625	-77.96583333	Prohibited MPAs
33.8575	-77.97583333	Prohibited MPAs
33.8575	-77.96583333	Prohibited MPAs
33.8525	-77.96583333	Prohibited MPAs
33.8425	-77.96083333	Prohibited MPAs
32.0575	-80.93083333	Prohibited MPAs
32.0525	-80.93083333	Prohibited MPAs
32.0475	-80.92583333	Prohibited MPAs
32.0475	-80.92083333	Prohibited MPAs
32.0425	-80.92083333	Prohibited MPAs
32.0425	-80.91583333	Prohibited MPAs
32.0425	-80.91083333	Prohibited MPAs
32.0425	-80.90583333	Prohibited MPAs
32.0425	-80.89583333	Prohibited MPAs
32.0375	-80.89083333	Prohibited MPAs
31.6975	-81.12583333	Prohibited MPAs
31.6975	-81.12083333	Prohibited MPAs
31.6925	-81.12083333	Prohibited MPAs
31.6925	-81.11583333	Prohibited MPAs
31.6875	-81.11583333	Prohibited MPAs
31.3075	-81.27583333	Prohibited MPAs
31.3075	-81.27083333	Prohibited MPAs
31.3025	-81.26583333	Prohibited MPAs
31.2125	-81.29083333	Prohibited MPAs
31.2075	-81.30083333	Prohibited MPAs
30.9675	-81.49083333	Prohibited MPAs
25.3475	-80.27083333	Prohibited MPAs
25.2925	-80.31583333	Prohibited MPAs
25.2925	-80.31083333	Prohibited MPAs
25.2925	-80.30583333	Prohibited MPAs
25.2875	-80.34083333	Prohibited MPAs
25.2875	-80.32583333	Prohibited MPAs
25.2875	-80.32083333	Prohibited MPAs
25.2875	-80.31583333	Prohibited MPAs
25.2875	-80.31083333	Prohibited MPAs
25.2875	-80.30583333	Prohibited MPAs
25.2825	-80.35583333	Prohibited MPAs
25.2825	-80.35083333	Prohibited MPAs
25.2825	-80.34583333	Prohibited MPAs
25.2825	-80.34083333	Prohibited MPAs
25.2825	-80.33583333	Prohibited MPAs
25.2825	-80.33083333	Prohibited MPAs
25.2825	-80.32583333	Prohibited MPAs
25.2825	-80.32083333	Prohibited MPAs
25.2825	-80.31583333	Prohibited MPAs
25.2825	-80.31083333	Prohibited MPAs
25.2825	-80.30583333	Prohibited MPAs
25.2775	-80.35083333	Prohibited MPAs
25.2775	-80.34583333	Prohibited MPAs
25.2775	-80.34083333	Prohibited MPAs
25.2775	-80.33583333	Prohibited MPAs
25.2775	-80.33083333	Prohibited MPAs
25.2775	-80.32583333	Prohibited MPAs
25.2775	-80.32083333	Prohibited MPAs
25.2775	-80.31583333	Prohibited MPAs
25.2775	-80.31083333	Prohibited MPAs
25.2775	-80.30583333	Prohibited MPAs
25.2725	-80.34083333	Prohibited MPAs
25.2725	-80.33083333	Prohibited MPAs
25.2725	-80.32583333	Prohibited MPAs
25.2725	-80.32083333	Prohibited MPAs
25.2725	-80.31583333	Prohibited MPAs
25.2725	-80.31083333	Prohibited MPAs
25.2725	-80.30583333	Prohibited MPAs
25.2675	-80.34083333	Prohibited MPAs
25.2675	-80.33583333	Prohibited MPAs
25.2675	-80.33083333	Prohibited MPAs
25.2675	-80.32583333	Prohibited MPAs
25.2675	-80.32083333	Prohibited MPAs
25.2675	-80.31083333	Prohibited MPAs
25.2625	-80.33083333	Prohibited MPAs
25.2625	-80.32583333	Prohibited MPAs
25.2625	-80.32083333	Prohibited MPAs
25.2625	-80.31583333	Prohibited MPAs
25.2575	-80.33083333	Prohibited MPAs
25.2575	-80.32583333	Prohibited MPAs
25.2575	-80.32083333	Prohibited MPAs
25.2575	-80.31583333	Prohibited MPAs
25.2525	-80.33083333	Prohibited MPAs
25.2525	-80.32583333	Prohibited MPAs
25.2525	-80.32083333	Prohibited MPAs
25.2525	-80.31583333	Prohibited MPAs
25.2475	-80.33083333	Prohibited MPAs
25.2475	-80.32583333	Prohibited MPAs
25.2475	-80.32083333	Prohibited MPAs
25.2425	-80.33083333	Prohibited MPAs
25.2425	-80.32583333	Prohibited MPAs
25.2375	-80.33083333	Prohibited MPAs
25.2325	-80.33583333	Prohibited MPAs
25.2325	-80.33083333	Prohibited MPAs
25.2325	-80.21083333	Prohibited MPAs
25.2275	-80.33583333	Prohibited MPAs
25.2275	-80.33083333	Prohibited MPAs
25.2275	-80.21583333	Prohibited MPAs
25.2275	-80.21083333	Prohibited MPAs
25.2275	-80.20583333	Prohibited MPAs
25.2225	-80.34083333	Prohibited MPAs
25.2225	-80.33583333	Prohibited MPAs
25.2225	-80.21583333	Prohibited MPAs
25.2225	-80.21083333	Prohibited MPAs
25.2225	-80.20583333	Prohibited MPAs
25.2175	-80.34583333	Prohibited MPAs
25.2175	-80.34083333	Prohibited MPAs
25.2175	-80.22083333	Prohibited MPAs
25.2175	-80.21583333	Prohibited MPAs
25.2175	-80.21083333	Prohibited MPAs
25.2125	-80.34583333	Prohibited MPAs
25.2125	-80.34083333	Prohibited MPAs
25.2125	-80.22083333	Prohibited MPAs
25.2125	-80.21583333	Prohibited MPAs
25.2125	-80.21083333	Prohibited MPAs
25.2075	-80.35083333	Prohibited MPAs
25.2075	-80.34583333	Prohibited MPAs
25.2075	-80.22583333	Prohibited MPAs
25.2075	-80.22083333	Prohibited MPAs
25.2075	-80.21583333	Prohibited MPAs
25.2025	-80.37083333	Prohibited MPAs
25.2025	-80.36583333	Prohibited MPAs
25.2025	-80.36083333	Prohibited MPAs
25.2025	-80.35583333	Prohibited MPAs
25.2025	-80.35083333	Prohibited MPAs
25.2025	-80.22083333	Prohibited MPAs
25.2025	-80.21583333	Prohibited MPAs
25.1975	-80.38083333	Prohibited MPAs
25.1975	-80.37083333	Prohibited MPAs
25.1975	-80.36583333	Prohibited MPAs
25.1975	-80.35583333	Prohibited MPAs
25.1925	-80.38583333	Prohibited MPAs
25.1925	-80.38083333	Prohibited MPAs
25.1925	-80.37583333	Prohibited MPAs
25.1925	-80.37083333	Prohibited MPAs
25.1925	-80.36583333	Prohibited MPAs
25.1925	-80.35583333	Prohibited MPAs
25.1875	-80.38583333	Prohibited MPAs
25.1875	-80.38083333	Prohibited MPAs
25.1875	-80.37083333	Prohibited MPAs
25.1875	-80.36583333	Prohibited MPAs
25.1875	-80.36083333	Prohibited MPAs
25.1825	-80.37083333	Prohibited MPAs
25.1825	-80.36583333	Prohibited MPAs
25.1775	-80.37083333	Prohibited MPAs
25.1475	-80.26083333	Prohibited MPAs
25.1475	-80.25583333	Prohibited MPAs
25.1425	-80.26583333	Prohibited MPAs
25.1425	-80.26083333	Prohibited MPAs
25.1375	-80.26083333	Prohibited MPAs
25.1225	-80.29583333	Prohibited MPAs
25.1125	-80.30583333	Prohibited MPAs
25.1075	-80.30583333	Prohibited MPAs
25.0375	-80.35083333	Prohibited MPAs
25.0325	-80.35083333	Prohibited MPAs
25.0175	-80.36583333	Prohibited MPAs
25.0125	-80.37583333	Prohibited MPAs
25.0125	-80.37083333	Prohibited MPAs
25.0075	-80.37583333	Prohibited MPAs
24.9525	-80.45583333	Prohibited MPAs
24.9525	-80.45083333	Prohibited MPAs
24.9375	-80.54583333	Prohibited MPAs
24.9325	-80.55083333	Prohibited MPAs
24.9225	-80.50583333	Prohibited MPAs
24.9025	-80.61583333	Prohibited MPAs
24.8625	-80.67583333	Prohibited MPAs
24.8575	-80.68083333	Prohibited MPAs
24.8575	-80.67583333	Prohibited MPAs
24.8575	-80.67083333	Prohibited MPAs
24.8525	-80.68083333	Prohibited MPAs
24.8525	-80.67583333	Prohibited MPAs
24.8525	-80.67083333	Prohibited MPAs
24.8525	-80.62083333	Prohibited MPAs
24.8475	-80.67583333	Prohibited MPAs
24.8475	-80.62583333	Prohibited MPAs
24.8475	-80.62083333	Prohibited MPAs
24.7475	-80.78083333	Prohibited MPAs
24.6875	-80.96583333	Prohibited MPAs
24.6875	-80.96083333	Prohibited MPAs
24.6825	-80.97083333	Prohibited MPAs
24.6825	-80.96583333	Prohibited MPAs
24.6275	-81.11083333	Prohibited MPAs
24.6225	-81.11083333	Prohibited MPAs
24.6175	-81.39083333	Prohibited MPAs
24.5675	-81.39083333	Prohibited MPAs
24.5675	-81.38583333	Prohibited MPAs
24.5575	-81.71583333	Prohibited MPAs
24.5575	-81.71083333	Prohibited MPAs
24.5575	-81.70583333	Prohibited MPAs
24.5575	-81.70083333	Prohibited MPAs
24.5575	-81.69583333	Prohibited MPAs
24.5575	-81.69083333	Prohibited MPAs
24.5575	-81.68583333	Prohibited MPAs
24.5525	-81.71583333	Prohibited MPAs
24.5525	-81.71083333	Prohibited MPAs
24.5525	-81.70583333	Prohibited MPAs
24.5525	-81.70083333	Prohibited MPAs
24.5525	-81.69583333	Prohibited MPAs
24.5525	-81.69083333	Prohibited MPAs
24.5525	-81.68583333	Prohibited MPAs
24.5525	-81.40583333	Prohibited MPAs
24.5525	-81.40083333	Prohibited MPAs
24.5475	-81.71583333	Prohibited MPAs
24.5475	-81.71083333	Prohibited MPAs
24.5475	-81.70583333	Prohibited MPAs
24.5475	-81.70083333	Prohibited MPAs
24.5475	-81.69583333	Prohibited MPAs
24.5475	-81.69083333	Prohibited MPAs
24.5475	-81.68583333	Prohibited MPAs
24.5475	-81.41083333	Prohibited MPAs
24.5475	-81.40583333	Prohibited MPAs
24.5475	-81.40083333	Prohibited MPAs
24.5425	-81.71583333	Prohibited MPAs
24.5425	-81.71083333	Prohibited MPAs
24.5425	-81.70583333	Prohibited MPAs
24.5425	-81.70083333	Prohibited MPAs
24.5425	-81.69583333	Prohibited MPAs
24.5425	-81.69083333	Prohibited MPAs
24.5425	-81.68583333	Prohibited MPAs
24.5425	-81.41083333	Prohibited MPAs
