lat	long	Type
34.32037196	-75.79986025	HAPC Hard Bottom
34.31537196	-75.83986025	HAPC Hard Bottom
34.31537196	-75.83486025	HAPC Hard Bottom
34.31537196	-75.82986025	HAPC Hard Bottom
34.31537196	-75.82486025	HAPC Hard Bottom
34.31537196	-75.81986025	HAPC Hard Bottom
34.31537196	-75.81486025	HAPC Hard Bottom
34.31537196	-75.80986025	HAPC Hard Bottom
34.31537196	-75.80486025	HAPC Hard Bottom
34.31037196	-75.84486025	HAPC Hard Bottom
34.31037196	-75.83986025	HAPC Hard Bottom
34.31037196	-75.83486025	HAPC Hard Bottom
34.31037196	-75.82986025	HAPC Hard Bottom
34.31037196	-75.82486025	HAPC Hard Bottom
34.31037196	-75.81986025	HAPC Hard Bottom
34.31037196	-75.81486025	HAPC Hard Bottom
34.31037196	-75.80986025	HAPC Hard Bottom
34.30537196	-75.84986025	HAPC Hard Bottom
34.30537196	-75.84486025	HAPC Hard Bottom
34.30537196	-75.83986025	HAPC Hard Bottom
34.30537196	-75.83486025	HAPC Hard Bottom
34.30537196	-75.82986025	HAPC Hard Bottom
34.30537196	-75.82486025	HAPC Hard Bottom
34.30037196	-75.85486025	HAPC Hard Bottom
34.30037196	-75.84986025	HAPC Hard Bottom
34.30037196	-75.84486025	HAPC Hard Bottom
34.30037196	-75.83986025	HAPC Hard Bottom
34.30037196	-75.83486025	HAPC Hard Bottom
34.30037196	-75.82986025	HAPC Hard Bottom
34.30037196	-75.82486025	HAPC Hard Bottom
34.29537196	-75.85986025	HAPC Hard Bottom
34.29537196	-75.85486025	HAPC Hard Bottom
34.29537196	-75.84986025	HAPC Hard Bottom
34.29537196	-75.84486025	HAPC Hard Bottom
34.29537196	-75.83986025	HAPC Hard Bottom
34.29537196	-75.83486025	HAPC Hard Bottom
34.29537196	-75.82986025	HAPC Hard Bottom
34.29037196	-75.86486025	HAPC Hard Bottom
34.29037196	-75.85986025	HAPC Hard Bottom
34.29037196	-75.85486025	HAPC Hard Bottom
34.29037196	-75.84986025	HAPC Hard Bottom
34.29037196	-75.84486025	HAPC Hard Bottom
34.29037196	-75.83986025	HAPC Hard Bottom
34.29037196	-75.83486025	HAPC Hard Bottom
34.28537196	-75.86986025	HAPC Hard Bottom
34.28537196	-75.86486025	HAPC Hard Bottom
34.28537196	-75.85986025	HAPC Hard Bottom
34.28537196	-75.85486025	HAPC Hard Bottom
34.28537196	-75.84986025	HAPC Hard Bottom
34.28537196	-75.84486025	HAPC Hard Bottom
34.28537196	-75.83986025	HAPC Hard Bottom
34.28537196	-75.83486025	HAPC Hard Bottom
34.28037196	-75.87486025	HAPC Hard Bottom
34.28037196	-75.86986025	HAPC Hard Bottom
34.28037196	-75.86486025	HAPC Hard Bottom
34.28037196	-75.85986025	HAPC Hard Bottom
34.28037196	-75.85486025	HAPC Hard Bottom
34.28037196	-75.84986025	HAPC Hard Bottom
34.28037196	-75.84486025	HAPC Hard Bottom
34.28037196	-75.83986025	HAPC Hard Bottom
34.27537196	-75.87986025	HAPC Hard Bottom
34.27537196	-75.87486025	HAPC Hard Bottom
34.27537196	-75.86986025	HAPC Hard Bottom
34.27537196	-75.86486025	HAPC Hard Bottom
34.27537196	-75.85986025	HAPC Hard Bottom
34.27537196	-75.85486025	HAPC Hard Bottom
34.27537196	-75.84986025	HAPC Hard Bottom
34.27537196	-75.84486025	HAPC Hard Bottom
34.27537196	-75.83986025	HAPC Hard Bottom
