LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.6639,165.0725,165.4292,1.0732,0.0000,0.0000,0.0000,1.4299,80.351562,1.854980,0.000000,0.000000,0.000000,18.598895,100.805438
80,78.7497,179.8061,216.0996,0.5395,0.0000,0.0000,0.0000,36.8329,104.597656,0.927246,0.000000,0.000000,0.000000,18.598895,124.123797
90,88.7489,190.4022,265.2628,0.5395,0.0000,0.0000,0.0000,75.4001,128.601562,0.927246,0.000000,0.000000,0.000000,18.598895,148.127704
100,98.9298,198.6898,314.4478,0.5381,0.0000,0.0000,0.0000,116.2961,152.781250,0.927246,0.000000,0.000000,0.000000,18.598895,172.307391
110,109.2635,205.4625,353.7217,3.7666,0.0000,0.0000,0.0000,152.0258,171.703125,6.490723,0.000000,0.000000,0.000000,18.598895,196.792743
120,119.8706,211.9000,343.8966,21.5412,0.0000,0.0000,0.0000,153.5378,166.972656,37.089844,0.000000,0.000000,0.000000,18.598895,222.661395
