LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,68.6967,686.2926,746.6333,0.5395,0.0000,0.0000,0.0000,60.8802,361.796875,0.927246,0.000000,0.000000,0.000000,50.558265,413.282386
80,79.8129,739.2604,953.5201,0.5395,0.0000,0.0000,0.0000,214.7991,465.730469,0.927246,0.000000,0.000000,0.000000,50.558265,517.215980
90,89.9454,775.2451,1140.6626,0.5381,0.0000,0.0000,0.0000,365.9556,559.765625,0.927246,0.000000,0.000000,0.000000,50.558265,611.251136
100,99.9656,803.4319,1317.7592,2.6904,0.0000,0.0000,0.0000,517.0177,648.851562,4.636230,0.000000,0.000000,0.000000,50.558265,704.046058
110,109.9960,827.9554,1366.9741,43.0588,0.0000,0.0000,0.0000,582.0775,673.597656,74.179688,0.000000,0.000000,0.000000,50.558265,798.335609
120,117.5458,846.3369,1288.1026,108.6272,0.0000,0.0000,0.0000,550.3929,634.222656,187.290039,0.000000,0.000000,0.000000,50.558265,872.070960
