LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,68.8807,244.6594,139.4403,0.5399,172.4776,0.1872,0.0000,67.9856,72.949219,0.937012,51.006486,0.208500,0.000000,22.626086,147.727302
80,79.4593,255.5889,183.4075,0.5575,191.8915,0.1872,0.0000,120.4548,97.265625,0.963379,57.981606,0.208500,0.000000,21.608859,178.027968
90,89.3859,259.6821,214.9949,0.5575,209.5754,0.1872,0.0000,165.6329,116.335938,0.963379,64.358930,0.208500,0.000000,21.608859,203.475605
100,98.9010,263.5341,214.9544,14.9985,209.3076,0.1872,0.0000,175.9136,116.335938,26.059082,64.262721,0.208500,0.000000,21.608859,228.475100
110,109.6744,267.5858,205.9051,36.0640,200.8726,0.1872,0.0000,175.4431,111.472656,62.736328,61.232152,0.208500,0.000000,21.608859,257.258495
120,117.8740,270.4698,196.8693,53.7154,190.9153,0.1872,0.0000,171.2174,106.609375,93.400391,57.644876,0.208500,0.000000,21.608859,279.472000
