LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.8823,576.2895,638.3327,0.5374,0.0000,0.0000,0.0000,62.5806,308.183594,1.848633,0.000000,0.000000,0.000000,42.996178,353.028405
80,79.8866,616.0163,795.8740,0.5374,0.0000,0.0000,0.0000,180.3951,386.542969,1.848633,0.000000,0.000000,0.000000,42.996178,431.387780
90,89.4240,644.4582,941.9591,0.5374,0.0000,0.0000,0.0000,298.0383,460.339844,1.848633,0.000000,0.000000,0.000000,42.996178,505.184655
100,99.6965,669.1760,1101.2957,0.5381,0.0000,0.0000,0.0000,432.6578,539.968750,1.854492,0.000000,0.000000,0.000000,42.996178,584.819421
110,109.8916,689.2976,1258.6346,0.5381,0.0000,0.0000,0.0000,569.8751,619.156250,1.854492,0.000000,0.000000,0.000000,42.996178,664.006921
120,119.9840,705.9788,1414.4731,0.5381,0.0000,0.0000,0.0000,709.0324,697.683594,1.854492,0.000000,0.000000,0.000000,42.996178,742.534264
