LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.9487,858.3609,1242.8876,0.5341,0.0000,0.0000,0.0000,385.0607,506.269531,1.773438,0.000000,0.000000,0.000000,18.278752,526.321721
80,78.8389,889.6255,1458.5138,0.5424,0.0000,0.0000,0.0000,569.4307,594.738281,1.804688,0.000000,0.000000,0.000000,18.278752,614.821721
90,89.9956,919.3821,1727.8047,0.5424,0.0000,0.0000,0.0000,808.9649,705.218750,1.804688,0.000000,0.000000,0.000000,18.278752,725.302190
100,99.9440,940.1757,1962.9002,0.5424,0.0000,0.0000,0.0000,1023.2668,803.613281,1.804688,0.000000,0.000000,0.000000,18.278752,823.696721
110,109.7933,957.4517,2194.6183,0.5424,0.0000,0.0000,0.0000,1237.7089,901.414062,1.804688,0.000000,0.000000,0.000000,18.278752,921.497502
120,119.9800,972.6333,2441.4368,0.5424,0.0000,0.0000,0.0000,1469.3458,1002.878906,1.804688,0.000000,0.000000,0.000000,18.278752,1022.962346
