LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.9086,715.7443,1037.4426,0.5424,0.0000,0.0000,0.0000,322.2406,422.625000,0.902344,0.000000,0.000000,0.000000,15.094264,438.621608
80,79.9976,744.7547,1242.4624,0.5424,0.0000,0.0000,0.0000,498.2500,506.269531,0.902344,0.000000,0.000000,0.000000,15.094264,522.266139
90,89.5375,765.6329,1431.1442,0.5424,0.0000,0.0000,0.0000,666.0537,584.937500,0.902344,0.000000,0.000000,0.000000,15.094264,600.934108
100,98.4344,781.4446,1608.3946,0.5424,0.0000,0.0000,0.0000,827.4924,658.292969,0.902344,0.000000,0.000000,0.000000,15.094264,674.289577
110,107.3947,795.6785,1554.4484,58.5932,0.0000,0.0000,0.0000,817.3631,636.609375,97.365234,0.000000,0.000000,0.000000,15.094264,749.068874
120,119.7653,815.2616,1511.0009,134.1877,0.0000,0.0000,0.0000,829.9269,618.343750,222.474609,0.000000,0.000000,0.000000,15.094264,855.912624
