LCOE_Target_$/MWh,LCOE_Achieved_$/MWh,Total_MW_Avg,Wind_MW_Avg,Wave_MW_Avg,Kite_MW_Avg,Coaxial_MW_Avg,Tidal_MW_Avg,Curtailment_MW_Avg,Cost_Wind_M$/yr,Cost_Wave_M$/yr,Cost_Kite_M$/yr,Cost_Coaxial_M$/yr,Cost_Tidal_M$/yr,Cost_Transmission_M$/yr,Total_Cost_M$/yr
70,69.8234,213.5360,302.6192,0.5341,0.0000,0.0000,0.0000,89.6173,123.265625,1.773438,0.000000,0.000000,0.000000,5.660349,130.699412
80,78.7774,221.7510,356.5413,0.5341,0.0000,0.0000,0.0000,135.3243,145.699219,1.773438,0.000000,0.000000,0.000000,5.660349,153.133005
90,89.2043,229.1106,421.0849,0.5424,0.0000,0.0000,0.0000,192.5166,171.691406,1.804688,0.000000,0.000000,0.000000,5.660349,179.156443
100,99.8442,234.8747,485.8428,0.5424,0.0000,0.0000,0.0000,251.5104,198.105469,1.804688,0.000000,0.000000,0.000000,5.660349,205.570505
110,108.9474,238.9603,539.4423,0.5424,0.0000,0.0000,0.0000,301.0244,220.750000,1.804688,0.000000,0.000000,0.000000,5.660349,228.215037
120,119.6205,243.0303,604.3008,0.5424,0.0000,0.0000,0.0000,361.8129,247.375000,1.804688,0.000000,0.000000,0.000000,5.660349,254.840037
